"Source","Country/Region","Commodity","Element","Season","Value","Element Unit"
"FAO-AMIS","Argentina","TOTAL CEREALS","Production","2016/17","66.40","Million tonnes"
"FAO-AMIS","Argentina","TOTAL CEREALS","Production","2017/18","75.80","Million tonnes"
"FAO-AMIS","Argentina","TOTAL CEREALS","Production","2018/19","71.17","Million tonnes"
"FAO-AMIS","Argentina","TOTAL CEREALS","Production","2019/20","83.84","Million tonnes"
"FAO-AMIS","Argentina","TOTAL CEREALS","Production","2020/21","83.79","Million tonnes"
"FAO-AMIS","Australia","TOTAL CEREALS","Production","2016/17","50.28","Million tonnes"
"FAO-AMIS","Australia","TOTAL CEREALS","Production","2017/18","33.63","Million tonnes"
"FAO-AMIS","Australia","TOTAL CEREALS","Production","2018/19","29.88","Million tonnes"
"FAO-AMIS","Australia","TOTAL CEREALS","Production","2019/20","26.81","Million tonnes"
"FAO-AMIS","Australia","TOTAL CEREALS","Production","2020/21","45.55","Million tonnes"
"FAO-AMIS","Brazil","TOTAL CEREALS","Production","2016/17","79.88","Million tonnes"
"FAO-AMIS","Brazil","TOTAL CEREALS","Production","2017/18","113.33","Million tonnes"
"FAO-AMIS","Brazil","TOTAL CEREALS","Production","2018/19","97.69","Million tonnes"
"FAO-AMIS","Brazil","TOTAL CEREALS","Production","2019/20","116.10","Million tonnes"
"FAO-AMIS","Brazil","TOTAL CEREALS","Production","2020/21","120.12","Million tonnes"
"FAO-AMIS","Canada","TOTAL CEREALS","Production","2016/17","58.85","Million tonnes"
"FAO-AMIS","Canada","TOTAL CEREALS","Production","2017/18","56.73","Million tonnes"
"FAO-AMIS","Canada","TOTAL CEREALS","Production","2018/19","58.65","Million tonnes"
"FAO-AMIS","Canada","TOTAL CEREALS","Production","2019/20","61.06","Million tonnes"
"FAO-AMIS","Canada","TOTAL CEREALS","Production","2020/21","64.95","Million tonnes"
"FAO-AMIS","China","TOTAL CEREALS","Production","2016/17","550.72","Million tonnes"
"FAO-AMIS","China","TOTAL CEREALS","Production","2017/18","547.94","Million tonnes"
"FAO-AMIS","China","TOTAL CEREALS","Production","2018/19","542.93","Million tonnes"
"FAO-AMIS","China","TOTAL CEREALS","Production","2019/20","546.87","Million tonnes"
"FAO-AMIS","China","TOTAL CEREALS","Production","2020/21","549.27","Million tonnes"
"FAO-AMIS","Egypt","TOTAL CEREALS","Production","2016/17","23.50","Million tonnes"
"FAO-AMIS","Egypt","TOTAL CEREALS","Production","2017/18","22.71","Million tonnes"
"FAO-AMIS","Egypt","TOTAL CEREALS","Production","2018/19","19.92","Million tonnes"
"FAO-AMIS","Egypt","TOTAL CEREALS","Production","2019/20","22.07","Million tonnes"
"FAO-AMIS","Egypt","TOTAL CEREALS","Production","2020/21","22.07","Million tonnes"
"FAO-AMIS","European Union","TOTAL CEREALS","Production","2016/17","301.12","Million tonnes"
"FAO-AMIS","European Union","TOTAL CEREALS","Production","2017/18","309.72","Million tonnes"
"FAO-AMIS","European Union","TOTAL CEREALS","Production","2018/19","294.16","Million tonnes"
"FAO-AMIS","European Union","TOTAL CEREALS","Production","2019/20","324.05","Million tonnes"
"FAO-AMIS","European Union","TOTAL CEREALS","Production","2020/21","278.22","Million tonnes"
"FAO-AMIS","India","TOTAL CEREALS","Production","2016/17","243.85","Million tonnes"
"FAO-AMIS","India","TOTAL CEREALS","Production","2017/18","257.90","Million tonnes"
"FAO-AMIS","India","TOTAL CEREALS","Production","2018/19","262.29","Million tonnes"
"FAO-AMIS","India","TOTAL CEREALS","Production","2019/20","266.01","Million tonnes"
"FAO-AMIS","India","TOTAL CEREALS","Production","2020/21","276.49","Million tonnes"
"FAO-AMIS","Indonesia","TOTAL CEREALS","Production","2016/17","57.63","Million tonnes"
"FAO-AMIS","Indonesia","TOTAL CEREALS","Production","2017/18","57.79","Million tonnes"
"FAO-AMIS","Indonesia","TOTAL CEREALS","Production","2018/19","59.56","Million tonnes"
"FAO-AMIS","Indonesia","TOTAL CEREALS","Production","2019/20","57.54","Million tonnes"
"FAO-AMIS","Indonesia","TOTAL CEREALS","Production","2020/21","57.81","Million tonnes"
"FAO-AMIS","Japan","TOTAL CEREALS","Production","2016/17","8.74","Million tonnes"
"FAO-AMIS","Japan","TOTAL CEREALS","Production","2017/18","8.66","Million tonnes"
"FAO-AMIS","Japan","TOTAL CEREALS","Production","2018/19","8.40","Million tonnes"
"FAO-AMIS","Japan","TOTAL CEREALS","Production","2019/20","8.63","Million tonnes"
"FAO-AMIS","Japan","TOTAL CEREALS","Production","2020/21","8.62","Million tonnes"
"FAO-AMIS","Kazakhstan","TOTAL CEREALS","Production","2016/17","19.82","Million tonnes"
"FAO-AMIS","Kazakhstan","TOTAL CEREALS","Production","2017/18","19.71","Million tonnes"
"FAO-AMIS","Kazakhstan","TOTAL CEREALS","Production","2018/19","19.59","Million tonnes"
"FAO-AMIS","Kazakhstan","TOTAL CEREALS","Production","2019/20","16.94","Million tonnes"
"FAO-AMIS","Kazakhstan","TOTAL CEREALS","Production","2020/21","18.40","Million tonnes"
"FAO-AMIS","Mexico","TOTAL CEREALS","Production","2016/17","38.34","Million tonnes"
"FAO-AMIS","Mexico","TOTAL CEREALS","Production","2017/18","37.39","Million tonnes"
"FAO-AMIS","Mexico","TOTAL CEREALS","Production","2018/19","35.93","Million tonnes"
"FAO-AMIS","Mexico","TOTAL CEREALS","Production","2019/20","36.07","Million tonnes"
"FAO-AMIS","Mexico","TOTAL CEREALS","Production","2020/21","36.79","Million tonnes"
"FAO-AMIS","Nigeria","TOTAL CEREALS","Production","2016/17","22.32","Million tonnes"
"FAO-AMIS","Nigeria","TOTAL CEREALS","Production","2017/18","23.74","Million tonnes"
"FAO-AMIS","Nigeria","TOTAL CEREALS","Production","2018/19","26.55","Million tonnes"
"FAO-AMIS","Nigeria","TOTAL CEREALS","Production","2019/20","26.50","Million tonnes"
"FAO-AMIS","Nigeria","TOTAL CEREALS","Production","2020/21","25.04","Million tonnes"
"FAO-AMIS","Philippines","TOTAL CEREALS","Production","2016/17","19.35","Million tonnes"
"FAO-AMIS","Philippines","TOTAL CEREALS","Production","2017/18","20.62","Million tonnes"
"FAO-AMIS","Philippines","TOTAL CEREALS","Production","2018/19","19.95","Million tonnes"
"FAO-AMIS","Philippines","TOTAL CEREALS","Production","2019/20","20.36","Million tonnes"
"FAO-AMIS","Philippines","TOTAL CEREALS","Production","2020/21","20.98","Million tonnes"
"FAO-AMIS","Republic of Korea","TOTAL CEREALS","Production","2016/17","4.45","Million tonnes"
"FAO-AMIS","Republic of Korea","TOTAL CEREALS","Production","2017/18","4.22","Million tonnes"
"FAO-AMIS","Republic of Korea","TOTAL CEREALS","Production","2018/19","4.11","Million tonnes"
"FAO-AMIS","Republic of Korea","TOTAL CEREALS","Production","2019/20","3.98","Million tonnes"
"FAO-AMIS","Republic of Korea","TOTAL CEREALS","Production","2020/21","3.74","Million tonnes"
"FAO-AMIS","Russian Federation","TOTAL CEREALS","Production","2016/17","117.42","Million tonnes"
"FAO-AMIS","Russian Federation","TOTAL CEREALS","Production","2017/18","130.94","Million tonnes"
"FAO-AMIS","Russian Federation","TOTAL CEREALS","Production","2018/19","109.47","Million tonnes"
"FAO-AMIS","Russian Federation","TOTAL CEREALS","Production","2019/20","117.49","Million tonnes"
"FAO-AMIS","Russian Federation","TOTAL CEREALS","Production","2020/21","126.36","Million tonnes"
"FAO-AMIS","Saudi Arabia","TOTAL CEREALS","Production","2016/17","0.27","Million tonnes"
"FAO-AMIS","Saudi Arabia","TOTAL CEREALS","Production","2017/18","0.28","Million tonnes"
"FAO-AMIS","Saudi Arabia","TOTAL CEREALS","Production","2018/19","0.84","Million tonnes"
"FAO-AMIS","Saudi Arabia","TOTAL CEREALS","Production","2019/20","0.47","Million tonnes"
"FAO-AMIS","Saudi Arabia","TOTAL CEREALS","Production","2020/21","0.78","Million tonnes"
"FAO-AMIS","South Africa","TOTAL CEREALS","Production","2016/17","10.62","Million tonnes"
"FAO-AMIS","South Africa","TOTAL CEREALS","Production","2017/18","19.58","Million tonnes"
"FAO-AMIS","South Africa","TOTAL CEREALS","Production","2018/19","15.56","Million tonnes"
"FAO-AMIS","South Africa","TOTAL CEREALS","Production","2019/20","13.87","Million tonnes"
"FAO-AMIS","South Africa","TOTAL CEREALS","Production","2020/21","18.88","Million tonnes"
"FAO-AMIS","Thailand","TOTAL CEREALS","Production","2016/17","25.88","Million tonnes"
"FAO-AMIS","Thailand","TOTAL CEREALS","Production","2017/18","26.77","Million tonnes"
"FAO-AMIS","Thailand","TOTAL CEREALS","Production","2018/19","26.64","Million tonnes"
"FAO-AMIS","Thailand","TOTAL CEREALS","Production","2019/20","23.21","Million tonnes"
"FAO-AMIS","Thailand","TOTAL CEREALS","Production","2020/21","24.43","Million tonnes"
"FAO-AMIS","Turkey","TOTAL CEREALS","Production","2016/17","34.91","Million tonnes"
"FAO-AMIS","Turkey","TOTAL CEREALS","Production","2017/18","35.77","Million tonnes"
"FAO-AMIS","Turkey","TOTAL CEREALS","Production","2018/19","33.98","Million tonnes"
"FAO-AMIS","Turkey","TOTAL CEREALS","Production","2019/20","33.91","Million tonnes"
"FAO-AMIS","Turkey","TOTAL CEREALS","Production","2020/21","36.19","Million tonnes"
"FAO-AMIS","Ukraine","TOTAL CEREALS","Production","2016/17","65.53","Million tonnes"
"FAO-AMIS","Ukraine","TOTAL CEREALS","Production","2017/18","60.83","Million tonnes"
"FAO-AMIS","Ukraine","TOTAL CEREALS","Production","2018/19","69.29","Million tonnes"
"FAO-AMIS","Ukraine","TOTAL CEREALS","Production","2019/20","74.73","Million tonnes"
"FAO-AMIS","Ukraine","TOTAL CEREALS","Production","2020/21","64.47","Million tonnes"
"FAO-AMIS","United Kingdom","TOTAL CEREALS","Production","2019/20","0.00","Million tonnes"
"FAO-AMIS","United Kingdom","TOTAL CEREALS","Production","2020/21","18.94","Million tonnes"
"FAO-AMIS","United States of America","TOTAL CEREALS","Production","2016/17","472.96","Million tonnes"
"FAO-AMIS","United States of America","TOTAL CEREALS","Production","2017/18","437.90","Million tonnes"
"FAO-AMIS","United States of America","TOTAL CEREALS","Production","2018/19","436.71","Million tonnes"
"FAO-AMIS","United States of America","TOTAL CEREALS","Production","2019/20","418.25","Million tonnes"
"FAO-AMIS","United States of America","TOTAL CEREALS","Production","2020/21","431.87","Million tonnes"
"FAO-AMIS","Viet Nam","TOTAL CEREALS","Production","2016/17","33.31","Million tonnes"
"FAO-AMIS","Viet Nam","TOTAL CEREALS","Production","2017/18","32.89","Million tonnes"
"FAO-AMIS","Viet Nam","TOTAL CEREALS","Production","2018/19","33.51","Million tonnes"
"FAO-AMIS","Viet Nam","TOTAL CEREALS","Production","2019/20","33.05","Million tonnes"
"FAO-AMIS","Viet Nam","TOTAL CEREALS","Production","2020/21","32.39","Million tonnes"
"FAO-AMIS","World","TOTAL CEREALS","Production","2016/17","2,661.25","Million tonnes"
"FAO-AMIS","World","TOTAL CEREALS","Production","2017/18","2,693.60","Million tonnes"
"FAO-AMIS","World","TOTAL CEREALS","Production","2018/19","2,647.77","Million tonnes"
"FAO-AMIS","World","TOTAL CEREALS","Production","2019/20","2,707.87","Million tonnes"
"FAO-AMIS","World","TOTAL CEREALS","Production","2020/21","2,744.34","Million tonnes"